# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Lite Edition
# File: C:\Users\overk\OneDrive - Trine University\AntMan\AntMan.csv
# Generated on: Thu Mar 04 14:51:55 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
VGA_VS,Unknown,PIN_D11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_HS,Unknown,PIN_B11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_BLANK_N,Unknown,PIN_F10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_SYNC_N,Unknown,PIN_C10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[7],Unknown,PIN_J14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[6],Unknown,PIN_G15,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[5],Unknown,PIN_F15,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[4],Unknown,PIN_H14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[3],Unknown,PIN_F14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[2],Unknown,PIN_H13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_B[1],Unknown,PIN_G13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
